what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1317413777352
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1317413777352
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1317413777352
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1317413777353
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1317413777353
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1317413777354
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1317413777354
os,sysinfo,,,"linux",1317413777357
arch,sysinfo,,,"x86_64",1317413777357
ws,sysinfo,,,"gtk",1317413777357
locale,sysinfo,,,"pt_BR",1317413777357
processors,sysinfo,,,"4",1317413777357
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1317413777357
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1317413777357
java.specification.name,sysinfo,,,"Java Platform API Specification",1317413777357
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317413777357
java.specification.version,sysinfo,,,"1.6",1317413777357
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317413777357
java.version,sysinfo,,,"1.6.0_20",1317413777357
java.vm.info,sysinfo,,,"mixed mode",1317413777357
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1317413777357
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317413777357
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317413777357
java.vm.specification.version,sysinfo,,,"1.0",1317413777357
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317413777357
java.vm.version,sysinfo,,,"19.0-b09",1317413777357
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1317413777559
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1317413778419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413778766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413788162
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1317413791579
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413791632
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413791635
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413791650
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413791651
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317413792793
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413792804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413800915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317413816665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413816695
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1317413817137
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1317413817187
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1317413817226
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1317413817245
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201109151620,"org.eclipse.cdt.msw.build",1317413817315
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317413819568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413829152
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1317413842235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317413842259
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1317413850268
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1317413850303
